Indicator Name,Indicator Code,Country Name,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
GDP (current US$),NY.GDP.MKTP.CD,"Macedonia, FYR",MKD,5514253043.38147,5985809059.97008,6560546900.04109,8159825620.389,9834038366.88837,9313573964.98007,9338675752.4362,10395193849.5382,9617364880.01663,
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,4363934416.54784,5038577519.49857,5515236338.4864,7342905883.1691,9394330368.35779,8589560142.44925,8837041787.49382,9911781296.64175,9975124872.405,
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,2625127097.7198,2754995876.60249,3116789657.89251,3647817218.57435,4276769712.29181,5030639934.35772,5398616984.59149,5621000677.89922,4263794983.9006,
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,124749473684.211,143533152129.483,162692467585.806,193552802791.702,230987918907.732,202251384991.501,246822585372.142,287934357244.344,303526203366.211,
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,1075605492.18297,992473987.301945,1303375806.06689,1541978558.62324,1891633531.16451,1984639640.86858,2134104883.7014,2153636962.94601,2222429330.40067,
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,4874178417.19164,5305317554.72495,6122644014.78684,7145394015.23154,8737687352.70079,8964480570.32521,9422267259.9894,10656395534.0275,10308146675.9498,
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,5643525281.93441,5980795755.74103,6390123590.13841,7513834699.60697,8554293727.08674,8099400960.97627,8163841059.60265,9151793160.96747,8721923076.92308,
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,131106365.539613,137556822.771548,143352031.172085,149739017.444696,152565763.149451,151560778.381533,162935849.808117,173700000,186901200,
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,1833445283.01887,2184444848.94895,3040718540.58079,3356758533.56708,3790240830.66288,3027020111.5163,3671380305.41277,4273232647.83585,4199051817.05876,
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,6385691315.22535,6283796155.23716,6507098598.55742,7792060059.61147,9641063862.25096,8834647745.25426,9718331362.63822,11241885393.0979,10492013574.4698,
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,759777472170.451,848947464608.978,952147575923.904,1035876598421.59,1092290958368.55,883741026678.744,1034940913835.4,1157646252777.68,1177955511613.59,
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,239563310.439243,249845592.623945,252991205.003248,255890836.379155,261339642.362797,277510922.800969,294117230.497109,310287519.271915,327200000,
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,2598231467.43671,2988172424.46608,3408454197.89191,4402495921.29332,6054806100.84681,5439422031.39627,5811622393.98689,7015201445.77502,7254113625.10322,
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,4110348444.49411,4280072625.97622,4663488363.0977,5974371695.95045,6919241412.09365,5557579883.30092,5350993377.48344,6074506533.22213,,
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,1992066758.84423,2523359940.71209,3414053250.94549,4234894168.15659,5623236707.52471,4583834427.36474,6200357070.1148,8761426370.55877,10271393281.3833,
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,2073255525.20487,2257181942.54446,2696020574.58286,3668857103.75034,4519731946.68229,4157852771.6,4114780573.5,4501811520,4231452000,
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,56948015336.0397,59523857868.0203,65637107776.2619,75226318359.375,88882967741.9355,90908402631.2523,90770671431.6696,99211339029.2806,95981572517.1671,
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,5697991241.44882,6578515331.19659,7095910827.74363,8035635713.16184,9891003404.78197,9674035109.32691,9274448731.91612,12568440512.7595,14587709349.7945,
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,6606970842.65234,7261301442.47414,7978676469.77384,8811608766.89852,8829927125.40153,8859203056.19983,11065912279.3816,12623100410.462,13072278942.987,
